String keys:

Benchmark                                           (impl)   (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode     Cnt           Score          Error  Units
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505     100    POPULATE  sample  497945        1644.927 ±       37.572  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505     100    CONTAINS  sample  678107         615.012 ±        5.993  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505     100        COPY  sample  954307         446.106 ±       14.396  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505     100     ITERATE  sample  512301         427.203 ±       21.243  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505    1000    POPULATE  sample  533399       16495.568 ±       73.786  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505    1000    CONTAINS  sample  659194         625.962 ±        2.470  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505    1000        COPY  sample  486786        3274.141 ±       44.944  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505    1000     ITERATE  sample  477574        3368.530 ±       51.160  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505   10000    POPULATE  sample  128275      194837.280 ±      560.805  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505   10000    CONTAINS  sample  778237        1039.958 ±        4.285  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505   10000        COPY  sample  455285       27592.240 ±      116.982  ns/op
JDKIdentityMapBench.bench                  CUCKOO_IDENTITY  STRING_UNIFORM                    100  467505   10000     ITERATE  sample  452478       27748.702 ±      113.891  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505     100    POPULATE  sample  516679        1590.845 ±       36.441  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505     100    CONTAINS  sample  732205         570.017 ±        3.629  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505     100        COPY  sample  957536         437.823 ±       12.014  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505     100     ITERATE  sample  519487         413.776 ±       14.549  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505    1000    POPULATE  sample  426458       14798.889 ±       86.616  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505    1000    CONTAINS  sample  688927         604.590 ±        3.042  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505    1000        COPY  sample  836595        3389.864 ±       28.391  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505    1000     ITERATE  sample  479063        3359.062 ±       52.399  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505   10000    POPULATE  sample  130950      190903.159 ±      575.426  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505   10000    CONTAINS  sample  812244        1000.401 ±        3.708  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505   10000        COPY  sample  453283       27718.541 ±      118.170  ns/op
JDKIdentityMapBench.bench                 CUCKOO_IDENTITY2  STRING_UNIFORM                    100  467505   10000     ITERATE  sample  452005       27732.460 ±      111.295  ns/op
JDKIdentityMapBench.bench                  CUCKOO_ORIGINAL  STRING_UNIFORM                    100  467505     100    POPULATE  sample  472998       52830.925 ±      126.269  ns/op
JDKIdentityMapBench.bench                  CUCKOO_ORIGINAL  STRING_UNIFORM                    100  467505     100    CONTAINS  sample  700538        1141.539 ±        4.120  ns/op
JDKIdentityMapBench.bench                  CUCKOO_ORIGINAL  STRING_UNIFORM                    100  467505     100        COPY  sample  202193      123708.712 ±      250.383  ns/op
JDKIdentityMapBench.bench                  CUCKOO_ORIGINAL  STRING_UNIFORM                    100  467505     100     ITERATE  sample  319221       78323.303 ±       95.625  ns/op
