Benchmark                                                (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  635871        55.069 ±      6.138  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  686260        32.187 ±      0.176  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  967733        63.989 ±      0.214  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  701073        81.407 ±      0.394  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  989047        22.629 ±      0.097  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  506045     12465.809 ±     69.420  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  497772      1590.049 ±      4.273  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  552713      5750.135 ±     54.467  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  677847      9323.900 ±     50.054  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  894776        23.549 ±      0.165  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    5024   4973752.255 ±  17455.917  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   19971   1250893.399 ±   1543.177  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   12259   2038515.282 ±   5063.211  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample    9881   2528791.887 ±   7720.172  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  702672        34.825 ±      0.359  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  644522        52.520 ±      3.730  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  862380        29.290 ±      0.084  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  852838        71.291 ±      3.504  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20              COPY  sample  982969        65.254 ±      2.715  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  936522        23.063 ±      0.086  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  517131     12163.622 ±     62.670  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  801525      7802.009 ±      2.556  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  534435      5952.570 ±     55.533  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  657155      9542.882 ±     46.501  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  855562        23.798 ±      0.377  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    6755   3700216.648 ±  10292.697  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   36175    690597.659 ±   1363.790  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   22558   1107359.356 ±   2289.087  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000              COPY  sample   15040   1661332.289 ±   2921.080  ns/op
FastutilMapInt2IntBench.bench                 FASTUTIL_I2I_HASH  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  629885        33.760 ±      0.550  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  724277        82.395 ±      3.838  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  985341        36.296 ±      0.270  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  511227        67.498 ±     12.654  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20              COPY  sample  609042        99.034 ±      8.890  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  994974        22.509 ±      0.076  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  566249     22141.528 ±     77.969  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  731765      2158.370 ±      1.881  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  616765      5159.431 ±     51.027  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000              COPY  sample  582624     10888.996 ±     71.107  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  868621        23.476 ±      0.092  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    2732   9150709.880 ±  68767.150  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   13630   1833423.091 ±   5782.122  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   13210   1891877.596 ±   9394.479  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000              COPY  sample    8110   3081764.238 ±  22100.882  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  689261        34.903 ±      0.335  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  719684        87.310 ±     10.569  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  983631        36.063 ±      0.112  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  509909        67.804 ±     11.456  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20              COPY  sample  598100        97.021 ±      6.012  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  925836        23.274 ±      0.148  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  569496     22020.409 ±     78.364  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  739239      2135.554 ±      2.116  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  625660      5071.665 ±     44.919  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  571270     11061.136 ±     66.753  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  838826        23.773 ±      0.120  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    4727   5287732.370 ±  24418.613  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   21881   1141715.495 ±   1619.325  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   19958   1251647.442 ±   3302.574  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000              COPY  sample   11659   2142627.648 ±   8731.728  ns/op
FastutilMapInt2IntBench.bench           FASTUTIL_I2I_LINKEDHASH  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  659212        33.398 ±      0.464  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20          POPULATE  sample  917166       234.125 ±      5.022  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  970776        50.634 ±      0.245  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  862838        49.457 ±      0.338  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20              COPY  sample  905343       239.332 ±      5.188  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505      20          CONTAINS  sample  668331        32.621 ±      0.328  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000          POPULATE  sample  275467     45343.338 ±    127.649  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  605710      5185.878 ±      4.922  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  587207      5343.119 ±      7.751  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000              COPY  sample  302698     41502.083 ±    108.483  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  548408        64.658 ±      0.309  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000          POPULATE  sample     864  29037150.815 ± 434921.969  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   11455   2180821.605 ±   7013.141  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   11133   2243875.481 ±   8797.576  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000              COPY  sample    1974  12679639.019 ±  66019.680  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  783825       146.128 ±      0.370  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20          POPULATE  sample  788377       273.530 ±     10.466  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  889079        53.045 ±      0.344  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  763353        53.602 ±      0.153  ns/op
FastutilMapInt2IntBench.bench                  FASTUTIL_I2I_AVL  INTEGER_DICTIONARY  467505      20              COPY  sample  903739       244.708 ±      9.588  ns/op
