Benchmark                                                  (impl)       (payloadType)  (seed)  (size)        (workload)    Mode     Cnt         Score        Error  Units
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  902815        69.092 ±      0.348  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  517256        65.752 ±      8.815  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  740260        31.920 ±      0.139  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  515069        31.618 ±      7.202  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505      20          CONTAINS  sample  743905        24.302 ±      1.371  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          POPULATE  sample  458210     13856.151 ±     88.424  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000       ITERATE_KEY  sample  638165      4978.970 ±     40.542  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000  ITERATE_KEYVALUE  sample  837689      1881.217 ±      1.208  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000              COPY  sample  685348      1161.012 ±     22.854  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505    2000          CONTAINS  sample  658894        24.512 ±      0.202  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          POPULATE  sample    5392   4635210.445 ±  20776.733  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000       ITERATE_KEY  sample   31945    782095.298 ±   1991.449  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000  ITERATE_KEYVALUE  sample   48450    515702.103 ±    517.706  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000              COPY  sample  388670     64239.972 ±    217.074  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH     INTEGER_UNIFORM  467505  200000          CONTAINS  sample  616781        41.701 ±      0.214  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20          POPULATE  sample  838335        73.607 ±      3.016  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20       ITERATE_KEY  sample  502932        62.589 ±      4.920  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20  ITERATE_KEYVALUE  sample  696513        32.884 ±      0.379  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20              COPY  sample  503227        28.993 ±      0.425  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505      20          CONTAINS  sample  525456        27.073 ±      0.574  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000          POPULATE  sample  437254     14465.973 ±     82.059  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000       ITERATE_KEY  sample  638094      4978.089 ±     40.968  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000  ITERATE_KEYVALUE  sample  837180      1881.382 ±      1.007  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000              COPY  sample  684969      1274.587 ±     52.104  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505    2000          CONTAINS  sample  623222        24.924 ±      0.218  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505  200000          POPULATE  sample    5735   4357294.089 ±  16257.641  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505  200000       ITERATE_KEY  sample   27737    900944.048 ±   2012.120  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505  200000  ITERATE_KEYVALUE  sample   34482    724524.783 ±    685.551  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505  200000              COPY  sample  385236     64810.898 ±    220.346  ns/op
FastCollectMapInt2IntBench.bench                      FC_I2I_HASH  INTEGER_DICTIONARY  467505  200000          CONTAINS  sample  604367        36.988 ±      0.244  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20          POPULATE  sample  634265        54.578 ±      5.371  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20       ITERATE_KEY  sample  636610        33.211 ±      0.119  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20  ITERATE_KEYVALUE  sample  952677        65.615 ±      4.673  ns/op
FastutilMapInt2IntBench.bench                   FASTUTIL_I2I_HASH     INTEGER_UNIFORM  467505      20              COPY  sample  913493        71.461 ±      5.927  ns/op
