Benchmark                                              (impl)   (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode     Cnt        Score    Error  Units
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505       5    POPULATE  sample  772940       81.488 ±  6.739  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505       5    CONTAINS  sample  740057       46.977 ±  0.983  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505       5        COPY  sample  749598       49.647 ±  5.933  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505       5     ITERATE  sample  461605       65.813 ±  1.647  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      15    POPULATE  sample  601716      305.994 ± 16.060  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      15    CONTAINS  sample  484033       72.009 ±  1.720  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      15        COPY  sample  693460       54.008 ±  9.006  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      15     ITERATE  sample  697140      132.410 ±  1.252  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      25    POPULATE  sample  410230      857.376 ± 38.887  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      25    CONTAINS  sample  770334       81.050 ±  1.217  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      25        COPY  sample  583509       98.928 ± 16.540  ns/op
GDXArrayMapBench.bench                GDX_O2O_ARRAY_UNORDERED  STRING_UNIFORM                    100  467505      25     ITERATE  sample  423913      209.212 ±  2.007  ns/op
