Benchmark                                   (impl)   (payloadType)  (percentageRangeKeys)  (seed)  (size)  (workload)    Mode     Cnt        Score      Error  Units
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505       5    POPULATE  sample  531152      107.019 ±    2.003  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505       5    CONTAINS  sample  602176       39.649 ±    1.281  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505       5        COPY  sample  755027      134.564 ±   10.471  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505       5     ITERATE  sample  569654       98.376 ±    9.727  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      10    POPULATE  sample  706966      147.868 ±   12.240  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      10    CONTAINS  sample  530503       50.221 ±    1.371  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      10        COPY  sample  449792      234.842 ±   27.813  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      10     ITERATE  sample  666696      156.014 ±   13.566  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      50    POPULATE  sample  700040      946.090 ±   23.521  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      50    CONTAINS  sample  732209       55.414 ±    1.034  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      50        COPY  sample  694853      958.476 ±   24.765  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505      50     ITERATE  sample  663180      526.658 ±   19.316  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     100    POPULATE  sample  542593     2424.505 ±   45.496  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     100    CONTAINS  sample  701786       58.726 ±    0.982  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     100        COPY  sample  732346     1765.457 ±   28.003  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     100     ITERATE  sample  641795     1031.714 ±   22.977  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     500    POPULATE  sample  371798    13751.109 ±  116.074  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     500    CONTAINS  sample  503094       47.553 ±    1.196  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     500        COPY  sample  364499     7142.169 ±   98.570  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505     500     ITERATE  sample  498367     5176.859 ±   65.166  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    1000    POPULATE  sample  265628    38023.331 ±  198.238  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    1000    CONTAINS  sample  437202       54.655 ±    1.696  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    1000        COPY  sample  364209    14020.559 ±  114.945  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    1000     ITERATE  sample  442062    11492.963 ±   83.997  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    5000    POPULATE  sample   66068   302415.472 ±  948.544  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    5000    CONTAINS  sample  563908       73.275 ±    1.452  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    5000        COPY  sample  162163   123216.063 ±  378.249  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505    5000     ITERATE  sample  288695    69172.049 ±  185.587  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505   10000    POPULATE  sample   32169   621153.485 ± 2054.042  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505   10000    CONTAINS  sample  532843       79.202 ±    1.594  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505   10000        COPY  sample   72782   274494.342 ±  887.673  ns/op
JDKMapBench.bench                       SQUID_HASH  STRING_UNIFORM                    100  467505   10000     ITERATE  sample  134064   149008.412 ±  417.168  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505       5    POPULATE  sample  527323      111.273 ±   18.821  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505       5    CONTAINS  sample  767256       36.720 ±    0.906  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505       5        COPY  sample  523549      112.818 ±   15.109  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505       5     ITERATE  sample  733295       72.586 ±    1.111  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      10    POPULATE  sample  636677      163.521 ±   16.618  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      10    CONTAINS  sample  452636       43.494 ±    1.483  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      10        COPY  sample  655968      151.578 ±    9.594  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      10     ITERATE  sample  485267      102.853 ±    1.729  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      50    POPULATE  sample  725641      930.900 ±   27.258  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      50    CONTAINS  sample  536011       39.900 ±    0.889  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      50        COPY  sample  594387      602.219 ±   26.594  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505      50     ITERATE  sample  740991      452.487 ±    1.790  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     100    POPULATE  sample  729179     1776.025 ±   28.749  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     100    CONTAINS  sample  555574       44.395 ±    1.367  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     100        COPY  sample  565409     1204.004 ±   30.835  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     100     ITERATE  sample  784558      825.082 ±    1.541  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     500    POPULATE  sample  655255     7740.316 ±   55.704  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     500    CONTAINS  sample  519865       45.916 ±    1.384  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     500        COPY  sample  474614     5464.128 ±   70.159  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505     500     ITERATE  sample  618772     4073.070 ±    2.818  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    1000    POPULATE  sample  521003    19283.159 ±   88.019  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    1000    CONTAINS  sample  481184       49.659 ±    1.476  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    1000        COPY  sample  449847    11309.694 ±   86.541  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    1000     ITERATE  sample  587538     8529.874 ±    4.905  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    5000    POPULATE  sample  122320   163326.393 ±  493.747  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    5000    CONTAINS  sample  678184       65.809 ±    1.195  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    5000        COPY  sample  225941    88399.669 ±  260.729  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505    5000     ITERATE  sample  275183    72574.449 ±   23.226  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505   10000    POPULATE  sample   55873   357660.916 ± 1159.185  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505   10000    CONTAINS  sample  574641       79.087 ±    1.491  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505   10000        COPY  sample   96590   206885.397 ±  690.231  ns/op
JDKMapBench.bench                     JDK_O2O_HASH  STRING_UNIFORM                    100  467505   10000     ITERATE  sample  112762   177200.291 ±   59.116  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505       5    POPULATE  sample  553638      106.102 ±   10.949  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505       5    CONTAINS  sample  725476       39.388 ±    0.947  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505       5        COPY  sample  409602      138.743 ±   17.915  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505       5     ITERATE  sample  630458       83.311 ±    1.421  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      10    POPULATE  sample  697123      144.794 ±    9.262  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      10    CONTAINS  sample  725632       38.732 ±    0.760  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      10        COPY  sample  602246      170.555 ±   13.858  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      10     ITERATE  sample  783548      121.884 ±    1.096  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      50    POPULATE  sample  597188     1103.025 ±   27.808  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      50    CONTAINS  sample  548238       60.947 ±    1.209  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      50        COPY  sample  721583      910.359 ±   20.621  ns/op
JDKMapBench.bench                JDKGDXDSOCTO_HASH  STRING_UNIFORM                    100  467505      50     ITERATE  sample  699498      470.621 ±    1.774  ns/op
