Benchmark                     (impl)      (payloadType)  (size)  (workload)    Mode     Cnt        Score     Error  Units
JDKMapBench.bench       JDK_O2O_HASH     STRING_UNIFORM    1000    POPULATE  sample  442635    22708.820 ± 103.605  ns/op
JDKMapBench.bench       JDK_O2O_HASH     STRING_UNIFORM    1000    CONTAINS  sample  444169       52.729 ±   1.706  ns/op
JDKMapBench.bench       JDK_O2O_HASH     STRING_UNIFORM    1000        COPY  sample  458820    11086.728 ±  84.464  ns/op
JDKMapBench.bench       JDK_O2O_HASH     STRING_UNIFORM    1000     ITERATE  sample  613983     8158.743 ±   3.421  ns/op
JDKMapBench.bench       JDK_O2O_HASH    INTEGER_UNIFORM    1000    POPULATE  sample  455886    22073.972 ± 104.335  ns/op
JDKMapBench.bench       JDK_O2O_HASH    INTEGER_UNIFORM    1000    CONTAINS  sample  473572       45.628 ±   1.143  ns/op
JDKMapBench.bench       JDK_O2O_HASH    INTEGER_UNIFORM    1000        COPY  sample  395300    12918.749 ± 103.797  ns/op
JDKMapBench.bench       JDK_O2O_HASH    INTEGER_UNIFORM    1000     ITERATE  sample  617924     8109.807 ±   3.462  ns/op
JDKMapBench.bench       JDK_O2O_HASH  STRING_DICTIONARY    1000    POPULATE  sample  561978    17897.202 ±  83.048  ns/op
JDKMapBench.bench       JDK_O2O_HASH  STRING_DICTIONARY    1000    CONTAINS  sample  430613       53.629 ±   1.834  ns/op
JDKMapBench.bench       JDK_O2O_HASH  STRING_DICTIONARY    1000        COPY  sample  427555    11938.467 ±  98.935  ns/op
JDKMapBench.bench       JDK_O2O_HASH  STRING_DICTIONARY    1000     ITERATE  sample  614534     8149.766 ±   3.219  ns/op
JDKMapBench.bench       JDK_O2O_HASH    VECTOR2_UNIFORM    1000    POPULATE  sample  418123    24085.453 ± 115.091  ns/op
JDKMapBench.bench       JDK_O2O_HASH    VECTOR2_UNIFORM    1000    CONTAINS  sample  448771       48.845 ±   1.344  ns/op
JDKMapBench.bench       JDK_O2O_HASH    VECTOR2_UNIFORM    1000        COPY  sample  549913    18250.421 ±  80.605  ns/op
JDKMapBench.bench       JDK_O2O_HASH    VECTOR2_UNIFORM    1000     ITERATE  sample  615808     8134.936 ±   3.294  ns/op
JDKMapBench.bench         SQUID_HASH     STRING_UNIFORM    1000    POPULATE  sample  255417    39565.731 ± 204.288  ns/op
JDKMapBench.bench         SQUID_HASH     STRING_UNIFORM    1000    CONTAINS  sample  430117       52.944 ±   1.694  ns/op
JDKMapBench.bench         SQUID_HASH     STRING_UNIFORM    1000        COPY  sample  364556    13995.303 ± 114.198  ns/op
JDKMapBench.bench         SQUID_HASH     STRING_UNIFORM    1000     ITERATE  sample  441985    11505.682 ±  85.322  ns/op
JDKMapBench.bench         SQUID_HASH    INTEGER_UNIFORM    1000    POPULATE  sample  457038    21975.541 ± 102.101  ns/op
JDKMapBench.bench         SQUID_HASH    INTEGER_UNIFORM    1000    CONTAINS  sample  574250       41.346 ±   1.175  ns/op
JDKMapBench.bench         SQUID_HASH    INTEGER_UNIFORM    1000        COPY  sample  435509    11681.708 ±  92.856  ns/op
JDKMapBench.bench         SQUID_HASH    INTEGER_UNIFORM    1000     ITERATE  sample  409061    12443.174 ±  92.674  ns/op
JDKMapBench.bench         SQUID_HASH  STRING_DICTIONARY    1000    POPULATE  sample  290139    34698.657 ± 152.314  ns/op
JDKMapBench.bench         SQUID_HASH  STRING_DICTIONARY    1000    CONTAINS  sample  462873       50.367 ±   1.642  ns/op
JDKMapBench.bench         SQUID_HASH  STRING_DICTIONARY    1000        COPY  sample  359776    14198.920 ± 120.657  ns/op
JDKMapBench.bench         SQUID_HASH  STRING_DICTIONARY    1000     ITERATE  sample  443877    11448.450 ±  83.462  ns/op
JDKMapBench.bench         SQUID_HASH    VECTOR2_UNIFORM    1000    POPULATE  sample  243922    41418.408 ± 212.423  ns/op
